,Year Code,County,Deaths,Population,Crude Rate
368,1999,"Okaloosa County, FL",16.0,169054.0,9.46443148343133
369,1999,"Okeechobee County, FL",,35551.0,
370,1999,"Orange County, FL",43.0,875681.0,4.910463970327094
371,1999,"Osceola County, FL",,167021.0,
372,1999,"Palm Beach County, FL",90.0,1116913.0,8.057923938569969
373,1999,"Pasco County, FL",37.0,337533.0,10.961891133607677
374,1999,"Pinellas County, FL",134.0,917379.0,14.6068309826146
375,1999,"Polk County, FL",40.0,478047.0,8.367378102989873
376,1999,"Putnam County, FL",,70499.0,
377,1999,"St. Johns County, FL",,119646.0,
378,1999,"St. Lucie County, FL",14.0,190349.0,7.354911241981834
379,1999,"Santa Rosa County, FL",10.0,116070.0,8.615490652192642
380,1999,"Sarasota County, FL",32.0,322839.0,9.912061430000714
381,1999,"Seminole County, FL",10.0,360168.0,2.7764820861375803
382,1999,"Sumter County, FL",,51725.0,
383,1999,"Suwannee County, FL",,34220.0,
384,1999,"Taylor County, FL",,19467.0,
385,1999,"Union County, FL",0.0,13438.0,0.0
386,1999,"Volusia County, FL",40.0,438368.0,9.124753631651945
387,1999,"Wakulla County, FL",,22299.0,
388,1999,"Walton County, FL",0.0,39864.0,0.0
389,1999,"Washington County, FL",0.0,20870.0,0.0
390,1999,"Appling County, GA",,17323.0,
391,1999,"Atkinson County, GA",0.0,7575.0,0.0
392,1999,"Bacon County, GA",0.0,10053.0,0.0
393,1999,"Baker County, GA",,4089.0,
394,1999,"Baldwin County, GA",,44440.0,
395,1999,"Banks County, GA",0.0,14037.0,0.0
396,1999,"Barrow County, GA",,44615.0,
397,1999,"Bartow County, GA",,74128.0,
398,1999,"Ben Hill County, GA",,17516.0,
399,1999,"Berrien County, GA",0.0,16086.0,0.0
400,1999,"Bibb County, GA",17.0,154254.0,11.020783901876127
401,1999,"Bleckley County, GA",,11573.0,
402,1999,"Brantley County, GA",0.0,14369.0,0.0
403,1999,"Brooks County, GA",,16379.0,
404,1999,"Bryan County, GA",0.0,23150.0,0.0
405,1999,"Bulloch County, GA",,55183.0,
406,1999,"Burke County, GA",,22156.0,
407,1999,"Butts County, GA",,18927.0,
408,1999,"Calhoun County, GA",,6176.0,
409,1999,"Camden County, GA",,43574.0,
410,1999,"Candler County, GA",,9530.0,
411,1999,"Carroll County, GA",,85082.0,
412,1999,"Catoosa County, GA",,52118.0,
413,1999,"Charlton County, GA",0.0,10258.0,0.0
414,1999,"Chatham County, GA",17.0,231630.0,7.339291110823296
415,1999,"Chattahoochee County, GA",0.0,14781.0,0.0
416,1999,"Chattooga County, GA",,25158.0,
417,1999,"Cherokee County, GA",,137416.0,
418,1999,"Clarke County, GA",,100173.0,
419,1999,"Clay County, GA",0.0,3347.0,0.0
420,1999,"Clayton County, GA",,229966.0,
421,1999,"Clinch County, GA",0.0,6892.0,0.0
422,1999,"Cobb County, GA",21.0,588871.0,3.5661460659465316
423,1999,"Coffee County, GA",0.0,36813.0,0.0
424,1999,"Colquitt County, GA",,41737.0,
